date,tube.ID,treatment,tank.number,timepoint,preservation.method,container.type,experiment,storage,notes
20220319,ACR1.1,initial,1,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR2.1,initial,2,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR3.1,initial,3,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR4.1,initial,4,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR5.1,initial,5,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR6.1,initial,6,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR7.1,initial,7,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR8.1,initial,8,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR9.1,initial,9,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR10.1,initial,10,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR11.1,initial,11,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR12.1,initial,12,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR13.1,initial,13,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR14.1,initial,14,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR15.1,initial,15,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR16.1,initial,16,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR17.1,initial,17,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR18.1,initial,18,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR19.1,initial,19,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR20.1,initial,20,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR21.1,initial,21,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR22.1,initial,22,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR23.1,initial,23,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220319,ACR24.1,initial,24,1,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR1.2,ambient,1,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR2.2,ambient,2,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR3.2,ambient,3,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR4.2,ambient,4,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR5.2,ambient,5,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR6.2,ambient,6,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR7.2,ambient,7,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR8.2,ambient,8,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR9.2,ambient,9,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR10.2,ambient,10,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR11.2,ambient,11,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR12.2,ambient,12,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR13.2,heatwave,13,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR14.2,heatwave,14,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR15.2,heatwave,15,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR16.2,heatwave,16,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR17.2,heatwave,17,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR18.2,heatwave,18,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR19.2,heatwave,19,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR20.2,heatwave,20,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR21.2,heatwave,21,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR22.2,heatwave,22,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR23.2,heatwave,23,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220325,ACR24.2,heatwave,24,2,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR1.3,ambient,1,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR2.3,ambient,2,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR3.3,ambient,3,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR4.3,ambient,4,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR5.3,ambient,5,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR6.3,ambient,6,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR7.3,ambient,7,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR8.3,ambient,8,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR9.3,ambient,9,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR10.3,ambient,10,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR11.3,ambient,11,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR12.3,ambient,12,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR13.3,heatwave,13,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR14.3,heatwave,14,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR15.3,heatwave,15,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR16.3,heatwave,16,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR17.3,heatwave,17,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR18.3,heatwave,18,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR19.3,heatwave,19,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR20.3,heatwave,20,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR21.3,heatwave,21,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR22.3,heatwave,22,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR23.3,heatwave,23,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220331,ACR24.3,heatwave,24,3,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR1.4,ambient,1,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR2.4,ambient,2,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR3.4,ambient,3,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR4.4,ambient,4,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR5.4,ambient,5,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR6.4,ambient,6,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR7.4,ambient,7,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR8.4,ambient,8,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR9.4,ambient,9,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR10.4,ambient,10,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR11.4,ambient,11,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR12.4,ambient,12,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR13.4,heatwave,13,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR14.4,heatwave,14,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR15.4,heatwave,15,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR16.4,heatwave,16,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR17.4,heatwave,17,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR18.4,heatwave,18,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR19.4,heatwave,19,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR20.4,heatwave,20,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR21.4,heatwave,21,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR22.4,heatwave,22,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR23.4,heatwave,23,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220410,ACR24.4,heatwave,24,4,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR1.5,ambient,1,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR2.5,ambient,2,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR3.5,ambient,3,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR4.5,ambient,4,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR5.5,ambient,5,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR6.5,ambient,6,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR7.5,ambient,7,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR8.5,ambient,8,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR9.5,ambient,9,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR10.5,ambient,10,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR11.5,ambient,11,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR12.5,ambient,12,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR13.5,heatwave,13,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR14.5,heatwave,14,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR15.5,heatwave,15,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR16.5,heatwave,16,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR17.5,heatwave,17,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR18.5,heatwave,18,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR19.5,heatwave,19,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR20.5,heatwave,20,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR21.5,heatwave,21,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR22.5,heatwave,22,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR23.5,heatwave,23,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,
20220418,ACR24.5,heatwave,24,5,snap frozen,1.5 mL screw tops,heatwave timeseries,GUMP -40 FREEZER,